Name,WHO_Region,Cases_cumulative_total,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_24_hours,Transmission_Classification
French Polynesia,Western Pacific,18335,78,14,136,1,0,Sporadic cases
Rwanda,Africa,17835,767,119,243,12,0,Community transmission
Mauritania,Africa,17058,281,17,433,8,1,Community transmission
Eswatini,Africa,16709,313,36,640,21,3,Community transmission
French Guiana,Americas,16456,160,0,80,1,0,Community transmission
Guinea,Africa,15154,326,66,85,1,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,15045,321,44,990,22,3,Community transmission
Cabo Verde,Africa,14885,284,37,142,4,1,Community transmission
Mayotte,Africa,14492,2052,11,89,17,4,Community transmission
Tajikistan,Europe,13714,0,0,91,0,0,Pending
Gabon,Africa,13107,936,0,75,4,0,Community transmission
Haiti,Americas,12206,190,0,247,1,0,Community transmission
Belize,Americas,12195,88,7,314,1,1,Community transmission
Burkina Faso,Africa,11703,277,31,139,5,1,Community transmission
Réunion,Africa,11562,655,0,48,1,0,Community transmission
Andorra,Europe,10610,219,27,107,1,0,Community transmission
Lesotho,Africa,10455,637,80,285,73,6,Community transmission
Guadeloupe,Americas,9455,153,0,160,1,0,Community transmission
Suriname,Americas,8832,93,12,168,4,1,Community transmission
Congo,Africa,8419,0,0,123,0,0,Community transmission
Bahamas,Americas,8403,71,10,179,1,0,Clusters of cases
Guyana,Americas,8313,221,51,189,7,1,Clusters of cases
Mali,Africa,8256,38,0,342,2,0,Community transmission
Trinidad and Tobago,Americas,7663,32,7,138,2,0,Community transmission
Aruba,Americas,7513,194,52,69,1,0,Community transmission
Guam,Western Pacific,7497,19,2,130,0,0,Clusters of cases
Martinique,Americas,6593,72,0,45,0,0,Community transmission
Togo,Africa,6085,398,203,81,1,0,Community transmission
South Sudan,Africa,6084,1124,162,83,12,4,Community transmission
Iceland,Europe,6044,18,0,29,0,0,Community transmission
Djibouti,Eastern Mediterranean,6008,42,2,63,0,0,Sporadic cases
Equatorial Guinea,Africa,5747,84,17,88,1,0,Community transmission
Somalia,Eastern Mediterranean,5632,619,132,179,35,7,Community transmission
Benin,Africa,5143,583,0,65,9,0,Community transmission
Nicaragua,Americas,5106,42,0,172,1,0,Community transmission
Central African Republic,Africa,4996,0,0,63,0,0,Community transmission
Niger,Africa,4718,53,3,170,3,0,Community transmission
Curaçao,Americas,4658,30,3,22,0,0,Community transmission
Gambia,Africa,4510,208,41,139,4,1,Community transmission
Gibraltar,Europe,4226,29,2,87,4,0,Clusters of cases
Sierra Leone,Africa,3829,16,4,79,0,0,Community transmission
Chad,Africa,3751,170,27,132,6,0,Community transmission
Comoros,Africa,3458,182,45,138,16,3,Community transmission
San Marino,Europe,3420,173,26,72,0,0,Community transmission
Jersey,Europe,3207,17,2,68,1,0,Community transmission
Guinea-Bissau,Africa,3025,177,26,46,0,0,Community transmission
Eritrea,Africa,2675,246,109,7,0,0,Community transmission
Saint Lucia,Americas,2620,483,44,25,3,1,Community transmission
Liechtenstein,Europe,2617,5,0,51,0,0,Sporadic cases
Barbados,Americas,2608,751,151,29,9,1,Community transmission
United States Virgin Islands,Americas,2558,53,13,25,0,0,Community transmission
Mongolia,Western Pacific,2493,286,49,2,0,0,Clusters of cases
Viet Nam,Western Pacific,2347,207,18,35,0,0,Clusters of cases
Seychelles,Africa,2264,569,53,10,3,0,Community transmission
Yemen,Eastern Mediterranean,2158,20,3,619,2,0,Community transmission
Sint Maarten,Americas,2013,41,0,27,0,0,Community transmission
New Zealand,Western Pacific,1992,22,4,26,1,0,Clusters of cases
Liberia,Africa,1985,16,0,85,1,0,Community transmission
Burundi,Africa,1955,158,27,3,0,0,Community transmission
Turks and Caicos Islands,Americas,1928,144,19,13,3,0,Clusters of cases
Monaco,Europe,1835,100,19,22,2,0,Sporadic cases
Sao Tome and Principe,Africa,1548,117,13,20,1,0,Community transmission
Saint Vincent and the Grenadines,Americas,1474,104,12,6,0,0,Community transmission
Saint Martin,Americas,1456,79,0,12,0,0,Community transmission
Papua New Guinea,Western Pacific,961,39,0,10,0,0,Community transmission
Bhutan,South-East Asia,866,5,0,1,0,0,Clusters of cases
Guernsey,Europe,806,46,2,14,1,0,Community transmission
Other,Other,745,0,0,13,0,0,Not applicable
Bermuda,Americas,697,3,2,12,0,0,Sporadic cases
Faroe Islands,Europe,658,1,0,1,0,0,Sporadic cases
Mauritius,Africa,603,8,0,10,0,0,Sporadic cases
Antigua and Barbuda,Americas,525,144,39,10,1,0,Sporadic cases
United Republic of Tanzania,Africa,509,0,0,21,0,0,Pending
Cambodia,Western Pacific,484,5,1,0,0,0,Sporadic cases
Saint Barthélemy,Americas,475,50,0,0,0,0,Clusters of cases
Isle of Man,Europe,437,1,0,25,0,0,No cases
Cayman Islands,Americas,419,11,0,2,0,0,Sporadic cases
Bonaire,Americas,381,12,1,4,0,0,Community transmission
Brunei Darussalam,Western Pacific,185,1,0,3,0,0,Sporadic cases
British Virgin Islands,Americas,153,2,0,1,0,0,Clusters of cases
Grenada,Americas,148,0,0,1,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,135,1,0,2,0,0,Pending
Dominica,Americas,134,13,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,103,3,1,0,0,0,Sporadic cases
Fiji,Western Pacific,56,0,0,2,0,0,Sporadic cases
New Caledonia,Western Pacific,55,5,3,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,1,0,0,0,0,Sporadic cases
Greenland,Europe,30,0,0,0,0,0,No cases
Holy See,Europe,26,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,1,0,1,0,0,Sporadic cases
Sint Eustatius,Americas,20,0,0,0,0,0,No cases
Anguilla,Americas,18,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,0,0,0,0,0,Sporadic cases
Saba,Americas,6,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,0,0,0,0,0,No cases
Samoa,Western Pacific,4,1,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,No cases
